code,country,continent.mex,continent.usa
1,Algeria,AFR,AFR
2,Argentina,AME,SoAm
3,Australia,OCE,AUS
4,Austria,EUR,EUR
5,Barbados,AME,NoAm
6,Belgium,EUR,EUR
7,Bolivia,AME,SoAm
8,Brazil,AME,SoAm
9,Canada,AME,NoAm
10,Chile,AME,SoAm
11,Colombia,AME,SoAm
12,Costa_Rica,AME,NoAm
13,Cyprus,EUR,EUR
14,Denmark,EUR,EUR
15,Ecuador,AME,SoAm
16,Egypt_Arab_Rep,AFR,AFR
17,El_Salvador,AME,NoAm
18,Finland,EUR,EUR
19,France,EUR,EUR
20,Germany,EUR,EUR
21,Greece,EUR,EUR
22,Guatemala,AME,NoAm
23,Honduras,AME,NoAm
24,Iceland,EUR,EUR
25,India,ASIA,ASIA
26,Indonesia,ASIA,ASIA
27,Ireland,EUR,EUR
28,Israel,ASIA,ASIA
29,Italy,EUR,EUR
30,Jamaica,AME,NoAm
31,Japan,ASIA,ASIA
32,Korea_Rep,ASIA,ASIA
33,Malaysia,ASIA,ASIA
34,Mauritius,AFR,AFR
35,Mexico,AME,NoAm
36,Morocco,AFR,AFR
37,Nepal,ASIA,ASIA
38,Netherlands,EUR,EUR
39,New_Zealand,OCE,AUS
40,Norway,EUR,EUR
41,Oman,ASIA,ASIA
42,Panama,AME,NoAm
43,Paraguay,AME,SoAm
44,Peru,AME,SoAm
45,Philippines,ASIA,ASIA
46,Portugal,EUR,EUR
47,Singapore,ASIA,ASIA
48,Spain,EUR,EUR
49,Sweden,EUR,EUR
50,Switzerland,EUR,EUR
51,Thailand,ASIA,ASIA
52,Trinidad_and_Tobago,AME,NoAm
53,Tunisia,AFR,AFR
54,Turkey,ASIA,ASIA
55,United_Kingdom,EUR,EUR
56,United_States,AME,NoAm
57,Uruguay,AME,SoAm
58,Venezuela,AME,SoAm
