code,senate_member
1,DA(HI-D)
2,LA(TN-R)
3,AA(CO-R)
4,GA(VA-R)
5,EB(IN-D)
6,JB(DE-D)
7,JB(NM-D)
8,CB(MO-R)
9,BB(CA-D)
10,SB(KS-R)
11,JB(KY-R)
12,CB(MT-R)
13,RB(WV-D)
14,MC(WA-D)
15,TC(DE-D)
16,LC(RI-R)
17,SC(GA-R)
18,HC(NY-D)
19,TC(MS-R)
20,NC(MN-R)
21,SC(ME-R)
22,KC(ND-D)
23,JC(TX-R)
24,JC(NJ-D)
25,MC(ID-R)
26,MD(MN-D)
27,MD(OH-R)
28,ED(NC-R)
29,PD(NM-R)
30,BD(ND-D)
31,RD(IL-D)
32,JE(NC-D)
33,JE(NV-R)
34,ME(WY-R)
35,RF(WI-D)
36,DF(CA-D)
37,PF(IL-R)
38,LG(SC-R)
39,CG(IA-R)
40,CH(NE-R)
41,TH(IA-D)
42,OH(UT-R)
43,KH(TX-R)
44,JI(OK-R)
45,JJ(VT-I)
46,TJ(SD-D)
47,EK(MA-D)
48,HK(WI-D)
49,JK(AZ-R)
50,ML(LA-D)
51,FL(NJ-D)
52,CL(MI-D)
53,JL(CT-D)
54,BL(AR-D)
55,TL(MS-R)
56,JM(AZ-R)
57,BM(MD-D)
58,ZM(GA-D)
59,LM(AK-R)
60,PM(WA-D)
61,BN(FL-D)
62,EN(NE-D)
63,DN(OK-R)
64,MP(AR-D)
65,PR(KS-R)
66,RS(PA-R)
67,PS(MD-D)
68,CS(NY-D)
69,JS(AL-R)
70,RS(AL-R)
71,GS(OR-R)
72,OS(ME-R)
73,DS(MI-D)
74,TS(AK-R)
75,JS(NH-R)
76,JT(MO-R)
77,CT(WY-R)
78,JW(VA-R)
79,RW(OR-D)
80,RB(UT-R)
81,BC(CO-R)
82,LC(ID-R)
83,JG(NH-R)
84,RL(IN-R)
85,AS(PA-R)
86,GV(OH-R)
87,MB(MT-D)
88,JB(LA-D)
89,CD(CT-D)
90,BG(FL-D)
91,EH(SC-D)
92,JK(MA-D)
93,PL(VT-D)
94,JR(WV-D)
95,BF(TN-R)
96,MM(KY-R)
97,TD(SD-D)
98,HR(NV-D)
99,DI(HI-D)
100,JR(RI-D)
